DIETA,PERIODO,RÉPLICA,LT,PT
A,I,A,0.883,0.50
A,I,A,0.909,0.52
A,I,A,1.018,0.58
A,I,A,0.909,0.52
A,I,A,1.200,0.68
A,I,A,0.891,0.51
A,I,A,0.993,0.57
A,I,A,0.902,0.51
A,I,A,0.800,0.46
A,I,B,1.134,0.65
A,I,B,0.993,0.57
A,I,B,1.000,0.57
A,I,B,0.862,0.49
A,I,B,0.805,0.46
A,I,B,1.007,0.57
A,I,B,0.819,0.47
A,I,B,0.913,0.52
A,I,B,1.107,0.63
A,I,B,0.956,0.55
A,I,B,1.027,0.59
B,I,A,1.200,0.68
B,I,A,1.185,0.68
B,I,A,0.880,0.50
B,I,A,0.934,0.53
B,I,A,0.831,0.47
B,I,A,1.079,0.62
B,I,A,0.923,0.53
B,I,A,1.032,0.59
B,I,A,0.945,0.54
B,I,B,1.075,0.61
B,I,B,0.914,0.52
B,I,B,1.100,0.63
B,I,B,0.915,0.52
B,I,B,0.940,0.54
B,I,B,1.100,0.63
B,I,B,1.037,0.59
B,I,B,1.051,0.60
B,I,B,0.600,0.34
B,I,B,0.828,0.47
B,I,B,0.972,0.55
C,I,A,1.222,0.70
C,I,A,0.999,0.57
C,I,A,0.963,0.55
C,I,A,1.054,0.60
C,I,A,1.054,0.60
C,I,A,0.992,0.57
C,I,A,1.118,0.64
C,I,A,0.838,0.48
C,I,A,1.022,0.58
C,I,B,0.784,0.45
C,I,B,0.889,0.51
C,I,B,0.877,0.50
C,I,B,1.086,0.62
C,I,B,0.773,0.44
C,I,B,0.916,0.52
C,I,B,0.968,0.55
C,I,B,0.974,0.56
C,I,B,0.933,0.53
C,I,B,0.943,0.54
C,I,B,0.867,0.49
A,M,A,1.700,0.97
A,M,A,1.432,0.82
A,M,A,1.388,0.79
A,M,A,1.565,0.89
A,M,A,1.426,0.81
A,M,A,1.418,0.81
A,M,A,1.357,0.77
A,M,A,1.470,0.84
A,M,A,1.657,0.95
A,M,A,1.415,0.81
A,M,B,1.800,1.03
A,M,B,1.501,0.86
A,M,B,1.379,0.79
A,M,B,1.442,0.82
A,M,B,1.412,0.81
A,M,B,1.100,0.63
A,M,B,1.542,0.88
A,M,B,1.506,0.86
A,M,B,1.582,0.90
B,M,A,1.596,0.91
B,M,A,1.617,0.92
B,M,A,1.594,0.91
B,M,A,1.468,0.84
B,M,A,1.454,0.83
B,M,A,1.407,0.80
B,M,A,1.528,0.87
B,M,A,1.367,0.78
B,M,A,1.380,0.79
B,M,A,1.537,0.88
B,M,B,1.452,0.83
B,M,B,1.562,0.89
B,M,B,1.491,0.85
B,M,B,1.535,0.88
B,M,B,1.439,0.82
B,M,B,1.281,0.73
B,M,B,1.327,0.76
B,M,B,1.456,0.83
C,M,A,1.570,0.90
C,M,A,1.451,0.83
C,M,A,1.551,0.89
C,M,A,1.384,0.79
C,M,A,1.479,0.84
C,M,A,1.486,0.85
C,M,A,1.576,0.90
C,M,A,1.438,0.82
C,M,B,1.643,0.94
C,M,B,1.595,0.91
C,M,B,1.473,0.84
C,M,B,1.308,0.75
C,M,B,1.451,0.83
C,M,B,1.603,0.91
C,M,B,1.458,0.83
A,F,A,2.1855,1.25
A,F,A,2.2817,1.30
A,F,A,1.9214,1.10
A,F,A,2.3570,1.34
A,F,A,2.6166,1.49
A,F,A,2.1524,1.23
A,F,A,2.3010,1.31
A,F,A,2.5875,1.48
A,F,A,2.1887,1.25
A,F,A,2.3113,1.32
A,F,B,2.2787,1.30
A,F,B,1.8838,1.07
A,F,B,2.0496,1.17
A,F,B,2.0410,1.16
A,F,B,2.2178,1.27
A,F,B,2.2587,1.29
A,F,B,1.3735,0.78
A,F,B,1.8040,1.03
A,F,B,2.1185,1.21
B,F,A,2.1781,1.24
B,F,A,2.2793,1.30
B,F,A,1.7755,1.01
B,F,A,2.1858,1.25
B,F,A,1.8855,1.08
B,F,A,2.5119,1.43
B,F,A,1.8054,1.03
B,F,A,2.3888,1.36
B,F,A,1.8324,1.05
B,F,A,2.1596,1.23
B,F,B,1.7026,0.97
B,F,B,2.0992,1.20
B,F,B,2.1121,1.21
B,F,B,1.9516,1.11
B,F,B,2.0349,1.16
B,F,B,1.5840,0.90
B,F,B,2.1199,1.21
B,F,B,2.1569,1.23
C,F,A,1.7186,0.98
C,F,A,2.3039,1.31
C,F,A,1.9697,1.12
C,F,A,1.9426,1.11
C,F,A,2.0320,1.16
C,F,A,2.2341,1.27
C,F,A,2.0949,1.20
C,F,B,1.8023,1.03
C,F,B,2.0744,1.18
