X1	X2	X3	X4	Y
1	1	1	1	3.393
1	1	1	2	3.436
1	1	1	3	3.686
1	1	2	1	5.118
1	1	2	2	4.964
1	1	2	3	5.104
1	1	3	1	6.636
1	1	3	2	6.659
1	1	3	3	6.637
1	2	1	1	-2.641
1	2	1	2	-2.548
1	2	1	3	-2.688
1	2	2	1	-0.926
1	2	2	2	-1.102
1	2	2	3	-1.061
1	2	3	1	0.365
1	2	3	2	0.678
1	2	3	3	0.583
1	3	1	1	-8.305
1	3	1	2	-8.577
1	3	1	3	-8.315
1	3	2	1	-6.834
1	3	2	2	-6.994
1	3	2	3	-6.924
1	3	3	1	-5.301
1	3	3	2	-5.435
1	3	3	3	-5.445
3	1	1	1	-0.528
3	1	1	2	-0.578
3	1	1	3	-0.691
3	1	2	1	0.988
3	1	2	2	1.145
3	1	2	3	1.046
3	1	3	1	2.647
3	1	3	2	2.675
3	1	3	3	2.438
3	2	1	1	-6.627
3	2	1	2	-6.454
3	2	1	3	-6.525
3	2	2	1	-5.167
3	2	2	2	-5.013
3	2	2	3	-4.949
3	2	3	1	-3.303
3	2	3	2	-3.346
3	2	3	3	-3.357
3	3	1	1	-12.646
3	3	1	2	-12.423
3	3	1	3	-12.508
3	3	2	1	-10.979
3	3	2	2	-10.87
3	3	2	3	-10.969
3	3	3	1	-9.493
3	3	3	2	-9.65
3	3	3	3	-9.53
3	1	1	1	-0.551
3	1	1	2	-0.654
3	1	1	3	-0.692
3	1	2	1	0.85
3	1	2	2	1.032
3	1	2	3	1.029
3	1	3	1	2.659
3	1	3	2	2.367
3	1	3	3	2.566
3	2	1	1	-6.577
3	2	1	2	-6.479
3	2	1	3	-6.559
3	2	2	1	-5.174
3	2	2	2	-4.895
3	2	2	3	-4.854
3	2	3	1	-3.338
3	2	3	2	-3.546
3	2	3	3	-3.519
3	3	1	1	-12.344
3	3	1	2	-12.668
3	3	1	3	-12.475
3	3	2	1	-10.825
3	3	2	2	-10.978
3	3	2	3	-11.071
3	3	3	1	-9.403
3	3	3	2	-9.661
3	3	3	3	-9.669
