especie	furcal	base	radio	alto	gordo	angos	ojo	1erarc	dist.	largo	cabez	hueso	mandib	hueso	arriba	cabeza	boca	abiert	cachete	largo	ancho	orificio	densi	hocic	interbr	ojoatra	proye	base	altura	area	Intesti
jordani	0.252679695	0.100616674	0.071355909	0.081758669	0.052529051	0.039272448	0.027786304	0.06405667	0.031517051	0.029340132	0.086868075	0.031408464	0.036429266	0.049593115	0.025598418	0.090031195	0.032129285	0.023399454	0.035715552	0.016734958	0.049593115	0.07389565	0.84509804	0.025598418	0.016734958	0.039980344	0.010723865	0.020450074	0.061914352	0.010999184	0.207499723
jordani	0.275533609	0.090462256	0.070847664	0.067599373	0.037216745	0.036516834	0.025162083	0.059038326	0.03447648	0.035617859	0.081081881	0.032293515	0.035113619	0.049085434	0.025880519	0.085484615	0.03300026	0.025162083	0.031585619	0.015712625	0.226280364	0.052388069	0.77815125	0.023721636	0.017179838	0.029454979	0.01128101	0.019371404	0.058918937	0.009493388	0.195462663
jordani	0.283712298	0.105355328	0.08180539	0.081150839	0.049922475	0.037064133	0.029752605	0.063321984	0.034494766	0.032350097	0.088941083	0.033423755	0.036338494	0.046104787	0.025305865	0.097856532	0.034154276	0.025305865	0.038511783	0.014749577	0.039810554	0.055378331	0.84509804	0.024560295	0.014749577	0.041392685	0.014749577	0.021565149	0.049218023	0.009025742	0.242812383
jordani	0.279976392	0.102458208	0.073980052	0.077886776	0.049771617	0.038563395	0.028513157	0.058895786	0.03736875	0.035052507	0.081115746	0.032848912	0.035000664	0.046512129	0.024866666	0.09129002	0.033567348	0.023399454	0.039980344	0.015988105	0.036212173	0.046512129	0.77815125	0.02413368	0.015239967	0.040687089	0.012987786	0.019709589	0.056573455	0.008940661	0.190331698
jordani	0.276158208	0.101798933	0.06811582	0.080544809	0.045101456	0.041392685	0.028540562	0.05962771	0.039174211	0.038002026	0.083935103	0.033878752	0.033878752	0.04383157	0.025460446	0.087299136	0.037651969	0.023912157	0.033878752	0.015296475	0.029706927	0.054131526	0.903089987	0.023135938	0.016875729	0.040647115	0.01052396	0.022358329	0.060864909	0.010215125	0.184744985
jordani	0.280654236	0.102662342	0.078426607	0.072341822	0.041392685	0.03809005	0.029721882	0.060960016	0.031314063	0.031314063	0.087396864	0.036429266	0.034762106	0.04249823	0.026328939	0.100514137	0.036429266	0.025476545	0.037260451	0.011605682	0.019834245	0.04249823	0.84509804	0.024622475	0.013363962	0.040569378	0.018596488	0.020326748	0.056976053	0.007427699	0.167563464
jordani	0.281894985	0.096310573	0.069719118	0.071628108	0.040029122	0.03453165	0.027560482	0.045682606	0.036628895	0.036628895	0.084761123	0.03314634	0.035912556	0.046104787	0.025447122	0.093904503	0.037975716	0.027560482	0.038661264	0.014723257	0.036628895	0.0523091	0.903089987	0.024032481	0.017608945	0.040711439	0.011818266	0.019760698	0.058426024	0.010427173	0.24474619
jordani	0.286427494	0.088421903	0.072712285	0.077426518	0.050841089	0.038838004	0.029121839	0.064135812	0.035292057	0.037405416	0.080347138	0.032384773	0.032384773	0.054965492	0.02517368	0.092969531	0.033683113	0.026493725	0.032384773	0.013109169	0.036350022	0.051917799	0.903089987	0.02384961	0.017168025	0.037555006	0.013109169	0.020521667	0.060997457	0.012204296	0.239824014
jordani	0.2799143	0.094844048	0.069254083	0.076720647	0.047373882	0.036683016	0.026415529	0.055438804	0.036756246	0.041280188	0.078567402	0.033968667	0.035327962	0.049085434	0.022239589	0.090682399	0.031921714	0.023636035	0.034648847	0.014477823	0.035617859	0.045757491	0.903089987	0.025028006	0.015189199	0.036006018	0.010903363	0.020838637	0.052388069	0.009344646	0.273295609
jordani	0.274157849	0.096910013	0.062581984	0.079181246	0.051795446	0.047274867	0.026669428	0.057539321	0.036912083	0.039051469	0.081587316	0.03275303	0.034093446	0.033683113	0.023938007	0.08754481	0.035429738	0.026669428	0.036761931	0.01494035	0.033683113	0.052706351	0.903089987	0.022565828	0.01494035	0.040074643	0.010723865	0.023938007	0.052706351	0.011655011	0.260071388
