DIETA,PERIODO,RÉPLICA,LT,PT,ID
A,I,A,0.883,0.5,1
A,I,A,0.909,0.52,2
A,I,A,1.018,0.58,3
A,I,A,0.909,0.52,4
A,I,A,1.2,0.68,5
A,I,A,0.891,0.51,6
A,I,A,0.993,0.57,7
A,I,A,0.902,0.51,8
A,I,A,0.8,0.46,9
A,I,B,1.134,0.65,10
A,I,B,0.993,0.57,11
A,I,B,1,0.57,12
A,I,B,0.862,0.49,13
A,I,B,0.805,0.46,14
A,I,B,1.007,0.57,15
A,I,B,0.819,0.47,16
A,I,B,0.913,0.52,17
A,I,B,1.107,0.63,18
A,I,B,0.956,0.55,19
A,I,B,1.027,0.59,20
B,I,A,1.2,0.68,21
B,I,A,1.185,0.68,22
B,I,A,0.88,0.5,23
B,I,A,0.934,0.53,24
B,I,A,0.831,0.47,25
B,I,A,1.079,0.62,26
B,I,A,0.923,0.53,27
B,I,A,1.032,0.59,28
B,I,A,0.945,0.54,29
B,I,B,1.075,0.61,30
B,I,B,0.914,0.52,31
B,I,B,1.1,0.63,32
B,I,B,0.915,0.52,33
B,I,B,0.94,0.54,34
B,I,B,1.1,0.63,35
B,I,B,1.037,0.59,36
B,I,B,1.051,0.6,37
B,I,B,0.6,0.34,38
B,I,B,0.828,0.47,39
B,I,B,0.972,0.55,40
C,I,A,1.222,0.7,41
C,I,A,0.999,0.57,42
C,I,A,0.963,0.55,43
C,I,A,1.054,0.6,44
C,I,A,1.054,0.6,45
C,I,A,0.992,0.57,46
C,I,A,1.118,0.64,47
C,I,A,0.838,0.48,48
C,I,A,1.022,0.58,49
C,I,B,0.784,0.45,50
C,I,B,0.889,0.51,51
C,I,B,0.877,0.5,52
C,I,B,1.086,0.62,53
C,I,B,0.773,0.44,54
C,I,B,0.916,0.52,55
C,I,B,0.968,0.55,56
C,I,B,0.974,0.56,57
C,I,B,0.933,0.53,58
C,I,B,0.943,0.54,59
C,I,B,0.867,0.49,60
A,M,A,1.7,0.97,1
A,M,A,1.432,0.82,2
A,M,A,1.388,0.79,3
A,M,A,1.565,0.89,4
A,M,A,1.426,0.81,5
A,M,A,1.418,0.81,6
A,M,A,1.357,0.77,7
A,M,A,1.47,0.84,8
