LT,AM,Loc
19,5,Ch
19,5,Ch
19,5.5,Ch
19.5,5.2,Ch
20,5.5,Ch
20.5,6,Ch
21,5.5,Ch
21,5.8,Ch
21,6,Ch
21,6,Ch
21,6,Ch
21,6,Ch
21,6.3,Ch
21.5,6,Ch
21.5,6,Ch
21.5,6.7,Ch
21.5,7.5,Ch
22,6,Ch
22,6,Ch
22,6,Ch
22,6,Ch
22,6.5,Ch
22,6.5,Ch
22,6.5,Ch
22,7,Ch
22.1,6.1,Ch
22.5,6,Ch
22.5,6,Ch
22.5,6,Ch
22.5,6.2,Ch
22.5,6.2,Ch
22.5,6.5,Ch
22.5,6.7,Ch
22.5,8.5,Ch
22.8,6.2,Ch
22.8,6.5,Ch
23,6,Ch
23,6.2,Ch
23,6.5,Ch
23,6.5,Ch
23,7,Ch
23,7,Ch
23.4,6.9,Ch
23.5,5.8,Ch
23.5,6.5,Ch
23.5,6.5,Ch
23.5,6.5,Ch
23.5,6.8,Ch
23.5,7,Ch
24,6.5,Ch
24,6.5,Ch
24,6.5,Ch
24,7,Ch
24,7,Ch
24.5,6.5,Ch
24.5,6.6,Ch
24.5,6.8,Ch
24.5,7,Ch
24.5,7.5,Ch
24.5,7.5,Ch
24.8,7,Ch
25,6.8,Ch
25,7,Ch
25,7,Ch
25,7,Ch
25,7.5,Ch
25,7.5,Ch
25,7.9,Ch
25,8,Ch
25.5,7,Ch
25.5,7.6,Ch
26,7.5,Ch
26,7.9,Ch
26.4,8,Ch
26.7,8,Ch
27,7.3,Ch
27.2,7.5,Ch
27.5,7.3,Ch
27.6,7.3,Ch
27.7,8.6,Ch
28,7,Ch
28,8,Ch
29,8.3,Ch
29.5,7.8,Ch
29.5,8.7,Ch
30.5,8.5,Ch
35,9.7,Ch
36.5,10,Ch
27.2,7.5,Ch
27.5,7.3,Ch
27.6,7.3,Ch
27.7,8.6,Ch
28,7,Ch
28,8,Ch
29,8.3,Ch
29.5,7.8,Ch
29.5,8.7,Ch
30.5,8.5,Ch
35,9.7,Ch
36.5,10,Ch
16,4.5,Gu
18.3,5.5,Gu
18.5,5.3,Gu
18.7,5.9,Gu
18.7,6,Gu
19,6.5,Gu
19.226375,5.7,Gu
19.6,6.4,Gu
20,5.4,Gu
20,5.7,Gu
20,5.8,Gu
20,6,Gu
20,6,Gu
20,6,Gu
20,6,Gu
20.1,6,Gu
20.2,5.8,Gu
20.3,6.5,Gu
20.4,5.8,Gu
20.5,5.7,Gu
20.5,6,Gu
20.6,6.1,Gu
20.7,6,Gu
20.8,5.7,Gu
21,6,Gu
21,6,Gu
21,6.2,Gu
21,6.2,Gu
21,6.5,Gu
21.2,6,Gu
21.2,6,Gu
21.2,6,Gu
21.2,6.4,Gu
21.5,6,Gu
21.8,6.4,Gu
22,6.2,Gu
22,6.3,Gu
22,6.7,Gu
22,6.8,Gu
22,6.8,Gu
22,7,Gu
22.2,6,Gu
22.3,6.3,Gu
22.5,6.5,Gu
22.5,6.9,Gu
22.7,7,Gu
22.8,6.6,Gu
23,6.5,Gu
23,6.8,Gu
23,7,Gu
23.2,6.5,Gu
23.226375,7,Gu
23.5,6.5,Gu
23.5,7,Gu
23.5,7,Gu
23.5,7.3,Gu
23.6,6.5,Gu
23.6,6.8,Gu
23.7,7,Gu
23.8,6,Gu
23.8,7.2,Gu
24,6.5,Gu
24,6.7,Gu
24,7.2,Gu
24,7.5,Gu
24.1,6.7,Gu
24.101375,7.2,Gu
24.226375,6.8,Gu
24.3,7.1,Gu
24.476375,7.5,Gu
24.5,6.8,Gu
24.5,7,Gu
24.5,7.9,Gu
24.7,6.6,Gu
24.7,7.3,Gu
24.7,7.6,Gu
24.8,7.6,Gu
24.851375,7,Gu
25,7,Gu
25,7,Gu
25,7.2,Gu
25,7.3,Gu
25,7.4,Gu
25,7.5,Gu
25,7.5,Gu
25.101375,6.8,Gu
25.2,7,Gu
25.2,7,Gu
25.3,7.6,Gu
25.5,7,Gu
25.5,7.5,Gu
25.5,7.9,Gu
25.7,7.6,Gu
25.8,7.4,Gu
25.8,7.4,Gu
26,7.5,Gu
26,7.6,Gu
26,8,Gu
26,8,Gu
26,8,Gu
26.2,7.8,Gu
26.2,8.1,Gu
26.5,7.4,Gu
26.5,7.5,Gu
26.5,7.5,Gu
26.5,7.5,Gu
26.5,7.6,Gu
26.7,7.8,Gu
26.9,8,Gu
